BinCode,BankCode,BankName,CardType,CardTypeId, Organization,OrganizationId,IsCommercialCard,IsSupportInstallment,IsActive
404591,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,VISA,1,false,false,true
407814,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,VISA,1,false,false,true
413226,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,VISA,1,false,false,true
434528,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,VISA,1,false,false,true
434529,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,VISA,1,false,false,true
439561,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,VISA,1,false,false,true
444676,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,VISA,1,false,false,true
444677,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,VISA,1,false,false,true
444678,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,VISA,1,false,false,true
447504,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,VISA,1,false,false,true
454671,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,VISA,1,false,false,true
511885,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,MASTER,2,false,false,true
487149,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,VISA,1,false,false,true
487148,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,VISA,1,false,false,true
487147,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,VISA,1,true,false,true
487146,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,VISA,1,false,false,true
482465,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,VISA,1,false,false,true
476619,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,VISA,1,false,false,true
469884,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,VISA,1,true,false,true
460952,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,VISA,1,false,false,true
454674,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,VISA,1,false,false,true
454673,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,VISA,1,true,false,true
454672,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,VISA,1,false,false,true
527682,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,MASTER,2,false,false,true
527737,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,MASTER,2,true,false,true
528208,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,MASTER,2,false,false,true
530905,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,MASTER,2,false,false,true
531102,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,MASTER,2,false,false,true
533154,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,MASTER,2,false,false,true
534981,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,MASTER,2,false,false,true
535735,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,MASTER,2,false,false,true
537470,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,MASTER,2,false,false,true
540130,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,MASTER,2,false,false,true
540134,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,MASTER,2,false,false,true
542374,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,MASTER,2,false,false,true
542941,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,MASTER,2,false,false,true
546957,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,MASTER,2,false,false,true
547287,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,MASTER,2,true,false,true
549449,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,MASTER,2,false,false,true
650083,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,TROY,3,false,false,true
650268,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,TROY,3,false,false,true
650273,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,TROY,3,false,false,true
650274,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,TROY,3,false,false,true
676123,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,TROY,3,false,false,true
676124,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,TROY,3,false,false,true
979217,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,TROY,3,false,false,true
979280,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,TROY,3,false,false,true
516932,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,MASTER,2,false,false,true
525329,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,MASTER,2,false,false,true
512440,10,T.C.ZİRAAT BANKASI A.Ş.,D,2,MASTER,2,false,false,true
523529,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,MASTER,2,false,false,true
513662,10,T.C.ZİRAAT BANKASI A.Ş.,C,1,MASTER,2,false,false,true
537500,12,T.HALK BANKASI A.Ş.,D,2,MASTER,2,true,false,true
543081,12,T.HALK BANKASI A.Ş.,C,1,MASTER,2,false,false,true
552879,12,T.HALK BANKASI A.Ş.,C,1,MASTER,2,true,false,true
